unit,crops,agprdmet,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC_UAA,UAAXK0000,TOTAL,IE	0.6 	0.7 	0.7 	0.7 	0.7 	0.8 	0.9 	1 	1 	1.1 	1.1 e	1.1 e	1.16 	1.20 	1.16 	1.65 	1.72 	1.66 
PC_UAA,UAAXK0000,TOTAL,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.49 	: 	1.41 	: 	0.44 
PC_UAA,UAAXK0000,TOTAL,IT	6.7 	8 	7.6 	7 	6.4 	7.3 	7.9 e	7.9 	7.5 	8.1 e	8.6 	8.4 	9.30 	10.60 	10.91 	11.79 	13.99 r	14.86 e
PC_UAA,UAAXK0000,TOTAL,LT	: 	: 	: 	: 	1.4 	2.3 	3.5 	4.5 	4.6 	4.8 	5.2 	5.4 	5.51 	5.74 	5.57 	7.11 	7.50 	7.98 
PC_UAA,UAAXK0000,TOTAL,LU	0.8 	1.6 	2.2 	2.3 	2.5 	2.4 e	2.4 e	2.6 	2.7 	2.7 e	2.8 e	2.8 e	3.14 	3.39 	3.43 	3.21 	3.47 r	4.15 
PC_UAA,UAAXK0000,TOTAL,LV	: 	: 	: 	: 	1.6 	6.8 	9.4 	8.1 	8.9 	8.7 	9.2 	10.1 	10.63 	9.89 	10.86 	12.29 	13.42 	13.92 
PC_UAA,UAAXK0000,TOTAL,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.36 p	1.09 p
PC_UAA,UAAXK0000,TOTAL,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.82 	0.79 	0.17 	0.26 	: 
PC_UAA,UAAXK0000,TOTAL,MT	: 	: 	: 	: 	0 	0.1 	0.2 	0.3 e	0.4 e	0.5 e	0.2 	0.2 e	0.32 	0.06 	0.29 	0.25 	0.21 	0.35 
PC_UAA,UAAXK0000,TOTAL,NL	1.6 	1.9 	2.2 	2.2 	2.5 	2.5 	2.5 	2.5 	2.6 	2.6 	2.5 	2.5 	2.61 	2.65 	2.67 	2.67 	2.91 	3.14 
PC_UAA,UAAXK0000,TOTAL,NO	2 	2.6 	3.1 	3.7 	3.9 	4.2 	4.3 	4.7 	5.1 	5.5 e	: 	: 	5.57 	5.23 	5.05 	4.83 	4.85 	4.79 e
PC_UAA,UAAXK0000,TOTAL,PL	: 	: 	: 	0.2 	0.5 	1 	1 	1.8 	2 	2.3 	3.3 	4.1 	4.51 	4.65 	4.56 	4.03 	3.72 	3.41 r
PC_UAA,UAAXK0000,TOTAL,PT	1.2 	2 	2.1 	3.2 	5.6 	6.2 	7.2 	6.3 	5.7 	4.3 	5.8 	6.1 	5.48 	5.31 	5.74 	6.52 	6.75 	7.04 
PC_UAA,UAAXK0000,TOTAL,RO	: 	: 	: 	: 	: 	0.7 e	0.8 	1 	1 	1.2 	1.3 	1.6 	2.10 	2.06 	2.09 	1.77 	1.67 	1.93 
PC_UAA,UAAXK0000,TOTAL,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.23 	0.27 	0.44 	0.41 	0.39 
PC_UAA,UAAXK0000,TOTAL,SE	5.9 	6.6 	6.8 	7.2 	7 	7 	7.2 	9.9 	10.9 	12.8 	14.3 	15.7 	15.76 	16.50 	16.53 	17.14 	18.30 	19.16 
PC_UAA,UAAXK0000,TOTAL,SI	: 	: 	: 	: 	4.6 	4.6 	5.5 	5.9 	6.1 	6.3 	6.4 	7 	7.32 	8.07 	8.55 	8.85 	9.12 	9.60 
PC_UAA,UAAXK0000,TOTAL,SK	: 	: 	: 	2.2 	2.6 	4.6 	6.2 	6.1 	7.3 	7.5 	9.1 	8.6 	8.53 	8.18 	9.37 	9.47 	9.75 	9.90 
PC_UAA,UAAXK0000,TOTAL,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.34 	1.34 	1.39 	1.48 e
PC_UAA,UAAXK0000,TOTAL,UK	3.3 	3.8 	4.2 	3.9 	3.9 	3.5 	3.4 	3.7 	4.1 	4.2 	4.1 	3.7 	3.41 	3.24 	3.02 	2.89 	2.82 	2.87 e
