unit,crops,agprdmet,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC_UAA,UAAXK0000,TOTAL,AT	13.8 	14.0 	14.5 	15.4 	16.0 	16.7 	16.7 	17.0 	17.4 	18.5 	19.5 	19.6 	18.62 	18.40 	19.35 	20.30 	21.25 	23.37 
PC_UAA,UAAXK0000,TOTAL,BE	1.5 	1.6 	2.1 	1.7 	1.7 	1.7 	2.1 	2.4 	2.6 	3 	3.6 	4.1 	4.48 	4.67 	5.00 	5.17 	5.80 	6.28 
PC_UAA,UAAXK0000,TOTAL,BG	: 	: 	: 	: 	: 	0.2 e	0.1 	0.3 	0.3 	0.2 	0.5 	0.5 	0.76 	1.13 	0.96 	2.37 	3.20 	2.72 
PC_UAA,UAAXK0000,TOTAL,CH	: 	: 	: 	: 	: 	11 	: 	: 	: 	: 	: 	: 	11.57 r	12.19 r	12.73 r	13.06 r	13.53 	14.45 
PC_UAA,UAAXK0000,TOTAL,CY	: 	: 	: 	: 	0.6 	1 	1.2 	1.5 	1.6 e	2.6 	2.8 e	2.9 e	3.38 	4.03 	3.63 	3.72 	4.94 	4.57 
PC_UAA,UAAXK0000,TOTAL,CZ	: 	: 	: 	7 	7.2 	7.1 	7.2 	8.2 	9 	10.6 	12.4 	13.1 	13.29 	13.47 	13.44 	13.68 	14.00 	14.09 r
PC_UAA,UAAXK0000,TOTAL,DE	3.2 	3.7 	4.1 	4.3 	4.5 	4.7 	4.9 	5.1 	5.4 	5.6 	5.9 	6.1 	5.76 	6.04 	6.18 	6.34 	6.82 	6.82 
PC_UAA,UAAXK0000,TOTAL,DK	5.9 	6.3 	6.5 	6.3 	5.8 	4.9 	5.1 	5 e	5.6 	5.9 	6.1 	6.1 	7.31 	6.44 	6.25 	6.33 	7.81 r	8.60 
PC_UAA,UAAXK0000,TOTAL,EE	: 	: 	: 	: 	7.2 e	7.2 	9.6 	8.7 	9.6 	11 	12.8 	14.1 	14.86 	15.65 	15.96 	15.68 	18.02 	19.60 
PC_UAA,UAAXK0000,TOTAL,EL	0.7 e	0.7 e	2 	6.4 	6.5 	7.6 	7.6 	7 	7.8 	8.5 	8.4 	5.2 	9.01 r	7.36 r	6.72 r	7.70 r	6.50 r	7.96 
PC_UAA,UAAXK0000,TOTAL,ES	1.5 	1.9 	2.6 	2.9 	2.9 e	3.1 	3.7 	4 	5.3 	6.6 	6.7 e	7.5 	7.49 	6.85 	7.26 	8.24 	8.48 	8.73 
PC_UAA,UAAXK0000,TOTAL,EU27	: 	: 	: 	: 	: 	3.6 e	3.7 e	4 e	4.4 e	4.7 e	5.2 e	5.5 e	: 	: 	: 	: 	: 	: 
PC_UAA,UAAXK0000,TOTAL,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.64 	5.65 	5.78 	6.20 	6.67 	7.03 e
PC_UAA,UAAXK0000,TOTAL,FI	6.7 	6.7 	7.6 e	7.1 	7.2 	6.5 	6.3 	6.6 	6.5 	7.2 	7.4 	8.2 	8.65 	9.07 	9.29 	9.91 	10.47 	11.38 
PC_UAA,UAAXK0000,TOTAL,FR	1.2 	1.4 	1.7 	1.9 	1.8 	1.9 	1.7 	1.9 	2 	1.9 	2.9 	3.4 	3.55 	3.66 	3.87 	4.54 	5.29 r	5.99 
PC_UAA,UAAXK0000,TOTAL,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.40 	3.13 	4.03 	4.94 	6.05 	6.46 
PC_UAA,UAAXK0000,TOTAL,HU	: 	: 	1.6 	2 	2.3 	2.2 	2.1 	1.8 	2.1 	2.4 	2.4 	2.3 	2.45 	2.45 	2.34 	2.43 	3.48 	3.73 
