OakNr	NEggs	Area	NLowBranches	TreeHeight	HerbCover	Shelter	BuckthornAbundance	BrambleAbundance	SmallOakAbundance	Distance2Edge	NearestTallOak	X	Y
1	5	16	1	350	12.5	1	3	3	3	12.5	12.5	181.116	219.203
2	0	16	1	75.5	12.5	1	3	3	3	12.5	12.5	181.116	219.198
3	0	16	1	75.5	12.5	1	3	3	3	12.5	12.5	181.119	219.202
4	5	16	1	350	12.5	1	3	2	3	17.5	22.5	181.088	219.15
5	0	16	2	75.5	12.5	1	3	2	3	17.5	22.5	181.089	219.154
6	0	16	1	350	12.5	1	3	2	3	17.5	22.5	181.09	219.151
7	0	16	2	25	5	1	3	2	3	17.5	22.5	181.085	219.147
8	0	16	2	125.5	12.5	2	3	2	3	17.5	22.5	181.09	219.167
9	0	16	2	125.5	12.5	2	3	2	3	12.5	22.5	181.039	219.096
10	3	16	2	350	12.5	2	3	2	3	12.5	22.5	181.037	219.092
11	0	16	2	350	12.5	2	3	2	3	7.5	22.5	181.039	219.09
12	2	16	2	125.5	12.5	0	3	3	3	17.5	22.5	181.022	219.054
13	5	16	1	125.5	12.5	1	3	3	3	17.5	22.5	181.023	219.051
14	5	16	1	125.5	12.5	2	3	3	3	7.5	22.5	181.023	219.056
15	1	16	2	25	12.5	1	3	3	3	17.5	22.5	181.027	219.051
16	7	16	2	175.5	12.5	2	3	3	3	17.5	22.5	181.028	219.059
17	0	16	1	125.5	5	1	3	2	3	17.5	22.5	181.035	219.056
18	0	16	2	125.5	12.5	2	3	3	3	2.5	17.5	181.02	219.042
19	0	16	1	125.5	12.5	2	3	3	3	2.5	7.5	180.997	218.999
20	0	16	1	350	12.5	2	3	3	3	2.5	17.5	180.992	218.991
21	0	16	1	25	12.5	2	2	3	2	2.5	7.5	180.971	218.949
22	0	16	0	350	12.5	1	2	3	2	2.5	7.5	180.968	218.951
23	3	16	1	125.5	20	2	3	3	2	2.5	17.5	180.959	218.919
24	1	16	0	350	20	2	3	3	2	2.5	12.5	180.95	218.909
25	0	16	2	125.5	20	2	2	3	2	2.5	12.5	180.977	218.97
26	0	16	1	350	20	2	1	3	3	2.5	17.5	180.988	218.954
27	6	16	3	350	20	1	2	3	3	2.5	2.5	180.972	218.959
28	0	16	1	175.5	12.5	1	3	3	3	2.5	22.5	181.031	219.04
29	0	16	2	75.5	12.5	1	3	2	3	12.5	12.5	181.033	219.045
30	0	16	2	75.5	12.5	0	3	2	3	7.5	22.5	181.027	219.043
31	2	16	2	350	5	2	3	3	3	17.5	22.5	181.042	219.059
32	0	16	1	175.5	12.5	1	2	2	3	17.5	22.5	181.043	219.056
33	0	16	1	125.5	5	2	3	3	3	17.5	22.5	181.045	219.053
34	0	16	0	125.5	5	2	3	2	2	7.5	22.5	181.057	219.077
35	2	16	3	175.5	12.5	2	3	2	3	7.5	22.5	181.072	219.096
36	0	16	1	175.5	12.5	1	3	2	3	17.5	22.5	181.072	219.094
37	0	16	2	75.5	12.5	0	2	3	2	20	22.5	181.073	219.105
38	0	16	2	75.5	12.5	1	2	2	2	17.5	2.5	181.079	219.137
39	0	16	1	75.5	5	0	2	2	3	20	22.5	181.081	219.135
40	0	16	1	125.5	12.5	2	3	3	2	2.5	22.5	181.087	219.139
41	0	6	0	75.5	12.5	2	3	3	2	7.5	7.5	180.94	218.598
42	2	6	1	175.5	5	1	3	3	2	12.5	17.5	180.938	218.599
43	2	6	3	350	20	2	3	2	2	12.5	17.5	180.935	218.597
44	3	6	2	75.5	12.5	0	3	3	1	17.5	17.5	180.949	218.58
45	3	6	1	350	12.5	2	3	2	1	12.5	22.5	180.954	218.561
46	3	6	3	75.5	0	0	3	3	1	20	22.5	180.96	218.558
47	2	6	3	175.5	20	0	1	1	1	20	22.5	180.985	218.529
48	0	6	1	125.5	12.5	2	3	3	3	7.5	22.5	180.982	218.486
49	2	6	1	125.5	12.5	2	3	3	3	2.5	22.5	181.001	218.481
51	5	6	1	350	20	2	3	3	3	7.5	22.5	180.989	218.482
52	5	6	1	125.5	12.5	2	3	3	3	12.5	22.5	180.992	218.48
53	17	6	3	75.5	12.5	0	1	2	1	20	7.5	181.021	218.451
54	1	6	2	175.5	20	2	3	3	3	17.5	22.5	181.028	218.413
55	1	6	2	75.5	5	1	3	3	2	12.5	17.5	181.042	218.391
56	4	6	2	75.5	20	1	3	3	2	17.5	22.5	181.039	218.382
57	4	6	0	75.5	12.5	2	3	3	2	12.5	22.5	181.049	218.383
58	0	6	3	500	5	0	3	3	1	20	22.5	181.05	218.358
59	1	1	1	175.5	5	2	3	1	3	12.5	22.5	181.098	218.311
60	0	1	1	175.5	12.5	1	3	2	3	12.5	22.5	181.112	218.298
61	0	1	1	350	20	2	3	3	3	17.5	17.5	181.107	218.282
62	0	1	1	125.5	5	2	3	3	3	17.5	17.5	181.111	218.281
63	0	1	1	75.5	12.5	2	3	3	3	17.5	17.5	181.109	218.295
64	1	1	2	75.5	5	1	3	3	3	12.5	22.5	181.11	218.285
65	0	15	1	350	12.5	0	1	1	3	20	12.5	180.756	219.029
66	1	15	2	175.5	12.5	1	2	2	3	20	22.5	180.749	219.025
67	0	15	2	125.5	12.5	1	1	1	3	20	22.5	180.751	219.022
68	0	15	3	500	12.5	1	2	2	3	20	22.5	180.74	219.025
69	1	15	1	75.5	12.5	1	2	1	3	20	2.5	180.765	219.029
70	2	15	2	75.5	12.5	1	2	2	3	20	2.5	180.761	219.037
71	1	15	2	350	12.5	1	2	2	3	20	7.5	180.749	219.033
72	2	15	2	350	12.5	1	2	2	3	20	12.5	180.756	219.043
73	2	15	2	75.5	12.5	2	1	1	3	20	12.5	180.711	219.065
74	0	15	1	125.5	12.5	1	1	1	3	20	12.5	180.714	219.084
75	3	15	2	350	12.5	2	1	1	3	20	7.5	180.718	219.078
76	2	15	1	175.5	12.5	2	2	2	3	20	17.5	180.701	219.078
77	4	15	2	350	12.5	1	2	1	3	20	12.5	180.714	219.077
78	0	15	1	125.5	12.5	1	2	2	3	20	7.5	180.72	219.045
79	0	15	1	125.5	20	1	1	3	1	7.5	22.5	180.794	219.042
80	0	15	1	350	0	1	1	2	1	7.5	2.5	180.82	219.033
81	0	15	3	125.5	12.5	1	2	2	1	17.5	7.5	180.83	218.996
82	0	15	0	350	12.5	1	2	3	2	12.5	12.5	180.857	218.953
83	3	15	2	75.5	20	1	2	3	2	17.5	12.5	180.86	218.968
