OakNr	NEggs	Area	NLowBranches	TreeHeight	HerbCover	Shelter	BuckthornAbundance	BrambleAbundance	SmallOakAbundance	Distance2Edge	NearestTallOak	X	Y
84	0	15	1	175.5	12.5	1	2	3	2	7.5	17.5	180.875	218.942
85	0	15	2	75.5	12.5	2	2	3	2	7.5	12.5	180.894	218.933
86	3	15	1	175.5	20	1	1	3	2	17.5	7.5	180.883	218.925
87	1	16	1	75.5	12.5	2	2	2	2	7.5	17.5	180.926	218.882
88	7	16	2	125.5	12.5	1	2	3	2	7.5	12.5	180.928	218.887
89	0	16	1	75.5	5	1	2	2	2	2.5	17.5	180.923	218.887
90	0	11	1	125.5	12.5	1	2	3	2	17.5	7.5	180.957	218.834
91	1	11	2	75.5	12.5	2	2	3	3	7.5	17.5	180.977	218.848
92	0	11	1	75.5	5	2	2	2	3	2.5	22.5	180.983	218.86
93	0	11	2	175.5	12.5	2	2	2	2	2.5	22.5	180.982	218.859
94	0	11	1	125.5	12.5	2	2	2	3	2.5	22.5	180.985	218.867
95	0	11	2	175.5	12.5	2	2	2	2	2.5	22.5	181.005	218.877
96	0	11	1	350	20	2	2	2	3	2.5	22.5	181.002	218.89
97	0	16	1	125.5	20	2	2	2	2	2.5	22.5	181.02	218.948
98	0	16	2	175.5	20	2	2	3	3	2.5	22.5	181.035	218.945
99	2	16	2	350	5	1	2	3	3	2.5	12.5	181.065	219.002
100	1	16	1	125.5	5	2	2	2	2	2.5	7.5	181.058	218.997
101	0	16	1	175.5	5	1	2	2	2	2.5	12.5	181.06	218.993
102	0	16	1	75.5	5	0	2	1	2	7.5	22.5	181.086	218.98
103	0	16	1	350	5	0	2	1	2	2.5	22.5	181.08	218.968
104	0	16	2	350	12.5	1	2	2	2	7.5	22.5	181.08	218.964
105	1	16	0	125.5	20	1	2	2	2	7.5	22.5	181.066	218.966
106	1	16	1	350	12.5	1	2	2	3	12.5	17.5	181.071	218.986
107	1	16	2	500	12.5	1	2	2	2	12.5	22.5	181.065	218.974
108	0	16	2	350	20	1	2	1	2	7.5	22.5	181.064	218.988
109	0	16	2	75.5	12.5	2	2	3	2	20	7.5	181.076	219.01
110	0	16	1	175.5	12.5	2	2	3	2	2.5	12.5	181.086	219.029
111	0	16	1	125.5	12.5	2	2	3	2	2.5	12.5	181.085	219.035
112	0	16	2	75.5	12.5	2	3	3	2	2.5	17.5	181.082	219.034
113	0	16	2	175.5	5	2	2	3	2	2.5	17.5	181.09	219.039
114	0	16	1	350	12.5	2	2	2	2	2.5	17.5	181.087	219.04
115	1	16	1	175.5	12.5	2	3	3	2	2.5	22.5	181.121	219.079
116	0	16	2	75.5	12.5	2	3	3	2	2.5	22.5	181.118	219.085
117	0	16	2	125.5	12.5	2	3	3	2	2.5	22.5	181.116	219.084
118	0	16	2	350	5	2	3	3	3	2.5	22.5	181.137	219.111
119	0	16	1	125.5	5	2	3	3	3	2.5	22.5	181.138	219.117
120	0	16	0	75.5	12.5	1	3	3	3	2.5	22.5	181.134	219.12
121	0	16	2	175.5	20	2	3	3	3	2.5	22.5	181.138	219.123
122	0	16	2	350	5	1	3	3	3	2.5	22.5	181.133	219.124
123	1	18	2	175.5	12.5	1	2	1	2	7.5	22.5	181.463	219.149
124	2	18	0	175.5	5	1	2	1	2	2.5	22.5	181.463	219.148
125	0	18	1	350	5	1	2	2	2	2.5	22.5	181.454	219.204
126	4	18	2	350	12.5	1	2	2	2	7.5	22.5	181.453	219.169
127	7	18	3	125.5	20	1	2	2	2	12.5	22.5	181.436	219.196
128	4	18	2	175.5	20	2	3	2	2	7.5	17.5	181.437	219.191
129	0	18	2	25	12.5	0	2	2	1	17.5	12.5	181.445	219.204
130	0	18	3	75.5	5	2	2	2	2	12.5	22.5	181.433	219.218
131	5	18	2	125.5	12.5	2	2	3	2	12.5	22.5	181.425	219.221
132	1	18	2	175.5	12.5	1	2	2	2	12.5	22.5	181.429	219.23
133	1	18	1	175.5	5	0	2	2	1	17.5	22.5	181.43	219.252
134	9	18	3	500	20	1	2	2	1	20	2.5	181.404	219.268
135	2	18	1	125.5	12.5	1	3	3	2	12.5	22.5	181.38	219.31
136	3	18	3	75.5	12.5	1	3	3	2	17.5	22.5	181.373	219.302
137	0	18	2	75.5	20	1	2	2	2	7.5	22.5	181.379	219.353
138	0	18	1	125.5	5	1	3	2	2	7.5	7.5	181.387	219.35
139	0	18	1	75.5	0	2	2	2	2	2.5	22.5	181.378	219.344
141	1	18	1	350	12.5	1	2	2	2	7.5	22.5	181.389	219.326
142	2	18	2	75.5	12.5	2	2	2	2	7.5	22.5	181.389	219.331
143	13	18	2	125.5	12.5	2	3	3	2	12.5	22.5	181.435	219.242
144	2	18	2	25	12.5	1	3	3	1	12.5	22.5	181.444	219.225
145	0	18	2	75.5	20	1	3	3	2	7.5	22.5	181.465	219.193
146	2	18	1	175.5	5	1	2	2	2	12.5	22.5	181.477	219.189
147	3	18	2	350	12.5	1	3	2	2	7.5	22.5	181.469	219.18
148	2	18	1	175.5	12.5	2	3	2	2	7.5	22.5	181.473	219.183
149	1	18	1	175.5	20	2	3	3	2	17.5	17.5	181.502	219.147
150	3	18	1	125.5	20	2	3	3	2	20	22.5	181.507	219.148
151	4	18	1	175.5	20	2	3	2	2	17.5	12.5	181.503	219.141
152	7	18	0	175.5	20	1	3	1	2	12.5	22.5	181.582	219.135
154	0	18	1	175.5	20	1	3	1	2	2.5	12.5	181.6	219.184
155	1	18	2	75.5	12.5	1	3	1	2	2.5	12.5	181.601	219.177
156	0	17	1	125.5	12.5	1	3	3	3	7.5	17.5	181.541	219.282
157	0	17	1	125.5	12.5	1	3	3	3	2.5	17.5	181.546	219.258
158	0	20	1	125.5	5	2	2	2	3	7.5	7.5	181.488	219.371
159	0	20	2	75.5	5	1	2	2	3	2.5	17.5	181.496	219.35
160	0	22	0	125.5	20	1	2	2	2	2.5	17.5	181.445	219.446
161	0	22	1	75.5	12.5	1	2	2	3	2.5	17.5	181.446	219.45
180	1	8	3	75.5	12.5	1	1	2	2	2.5	12.5	180.921	218.648
181	0	8	2	125.5	20	1	1	2	2	2.5	7.5	180.93	218.664
182	0	8	2	175.5	5	1	1	2	2	2.5	2.5	180.928	218.668
183	0	8	1	125.5	12.5	1	1	2	2	2.5	7.5	180.937	218.675
184	0	8	2	125.5	20	1	2	2	2	2.5	2.5	180.946	218.689
185	0	8	2	75.5	12.5	1	2	2	2	2.5	7.5	180.954	218.708
186	1	11	3	75.5	12.5	1	1	2	2	2.5	2.5	180.97	218.761
187	0	11	1	25	12.5	2	2	2	1	2.5	7.5	180.982	218.763
188	0	11	1	75.5	20	2	2	2	3	2.5	22.5	180.986	218.819
189	0	11	1	75.5	12.5	1	2	2	2	7.5	17.5	180.988	218.826
191	0	11	1	125.5	20	1	2	1	2	17.5	7.5	180.973	218.813
192	3	11	2	350	20	1	2	2	2	12.5	17.5	180.989	218.824
193	0	11	2	75.5	12.5	1	1	1	3	20	2.5	180.953	218.802
194	0	11	2	75.5	20	1	1	1	3	20	7.5	180.943	218.789
195	0	11	1	125.5	20	0	1	1	3	20	7.5	180.934	218.79
196	1	11	3	75.5	12.5	2	2	1	3	20	12.5	180.929	218.781
197	2	11	2	75.5	12.5	1	2	1	3	20	17.5	180.932	218.79
198	1	11	2	125.5	12.5	1	3	2	3	20	12.5	180.934	218.784
199	0	10	2	75.5	12.5	0	1	2	3	20	7.5	180.868	218.828
200	0	10	2	125.5	20	0	1	2	3	20	12.5	180.863	218.829
201	0	10	2	75.5	20	0	0	2	1	20	22.5	180.853	218.87
202	2	10	1	350	20	0	2	3	2	20	22.5	180.826	218.89
203	0	12	2	75.5	20	0	1	3	2	20	7.5	180.785	218.953
204	2	12	2	75.5	12.5	1	3	1	1	2.5	17.5	180.786	218.952
205	0	1	1	125.5	12.5	1	2	2	2	2.5	17.5	181.105	218.246
206	0	1	1	75.5	12.5	1	2	2	2	2.5	17.5	181.105	218.244
207	0	1	1	75.5	12.5	2	2	3	2	2.5	7.5	181.139	218.252
208	0	1	1	175.5	5	1	3	2	2	2.5	12.5	181.142	218.252
209	0	1	1	175.5	20	1	3	2	2	2.5	22.5	181.173	218.256
210	0	1	1	175.5	12.5	1	3	2	2	2.5	22.5	181.181	218.258
211	0	1	1	75.5	12.5	1	3	2	2	2.5	22.5	181.216	218.257
212	0	1	2	125.5	12.5	1	2	2	2	2.5	22.5	181.214	218.253
213	0	1	1	75.5	12.5	1	2	2	2	2.5	22.5	181.241	218.273
214	0	1	1	175.5	12.5	2	2	3	3	2.5	22.5	181.232	218.275
215	0	1	2	125.5	12.5	1	2	2	2	2.5	22.5	181.283	218.277
216	2	2	1	175.5	12.5	2	1	3	2	17.5	22.5	181.381	218.318
217	7	2	2	125.5	20	2	2	3	3	17.5	22.5	181.381	218.316
218	1	2	2	175.5	5	1	2	2	3	7.5	22.5	181.368	218.326
219	2	2	2	125.5	12.5	2	2	3	3	12.5	22.5	181.377	218.327
220	0	2	1	350	12.5	2	2	3	3	7.5	22.5	181.364	218.33
221	0	2	2	75.5	5	1	2	2	2	2.5	22.5	181.355	218.341
222	0	2	1	125.5	12.5	2	2	2	2	2.5	22.5	181.352	218.343
223	0	2	0	125.5	5	1	1	2	2	2.5	22.5	181.369	218.378
224	0	2	2	75.5	5	1	1	2	3	2.5	22.5	181.368	218.379
225	0	2	2	125.5	12.5	1	2	2	2	2.5	22.5	181.379	218.388
226	0	2	2	350	12.5	1	2	2	2	2.5	22.5	181.409	218.397
227	1	2	1	125.5	12.5	1	2	2	3	2.5	22.5	181.419	218.387
228	0	3	2	125.5	12.5	2	2	2	2	2.5	22.5	181.451	218.444
229	0	3	2	75.5	12.5	1	2	2	2	2.5	22.5	181.446	218.456
230	1	3	2	125.5	12.5	2	2	3	3	2.5	22.5	181.432	218.486
231	0	3	2	125.5	12.5	2	2	3	3	2.5	22.5	181.441	218.49
232	0	4	2	75.5	12.5	2	3	3	3	2.5	22.5	181.51	218.535
233	0	4	1	125.5	12.5	2	3	3	3	2.5	22.5	181.505	218.53
234	0	4	2	75.5	12.5	1	3	2	3	2.5	22.5	181.545	218.566
235	0	5	2	350	12.5	1	3	2	3	2.5	22.5	181.621	218.598
236	0	5	2	125.5	12.5	1	3	2	2	2.5	22.5	181.619	218.593
237	0	7	1	125.5	20	1	3	1	2	2.5	22.5	181.635	218.657
238	1	7	1	75.5	20	2	3	1	2	2.5	22.5	181.629	218.658
239	0	7	2	350	20	2	3	1	2	2.5	22.5	181.632	218.667
240	0	9	1	125.5	12.5	2	3	3	2	2.5	22.5	181.544	218.78
241	0	9	2	75.5	12.5	1	3	2	2	2.5	12.5	181.537	218.807
242	0	9	1	125.5	5	1	3	2	2	2.5	12.5	181.552	218.849
243	0	9	1	75.5	12.5	1	3	2	3	2.5	17.5	181.574	218.865
244	0	9	1	125.5	12.5	1	3	2	3	2.5	7.5	181.572	218.871
245	0	13	2	75.5	5	1	3	3	3	2.5	12.5	181.556	218.944
246	0	13	1	350	5	1	3	3	3	2.5	12.5	181.566	218.966
247	0	14	1	75.5	12.5	2	3	2	3	2.5	22.5	181.563	219.019
248	0	14	1	175.5	12.5	1	3	3	3	2.5	22.5	181.555	219.022
268	1	22	2	75.5	12.5	2	2	2	2	2.5	2.5	181.406	219.46
269	0	22	1	125.5	12.5	1	2	3	2	2.5	7.5	181.397	219.44
270	0	22	1	25	12.5	1	2	2	2	2.5	12.5	181.394	219.421
271	0	18	1	125.5	20	2	3	2	1	2.5	2.5	181.327	219.313
272	0	18	1	75.5	12.5	2	3	2	1	2.5	7.5	181.319	219.311
273	2	18	2	125.5	12.5	2	3	2	2	2.5	12.5	181.307	219.313
274	0	18	2	75.5	12.5	1	3	2	2	2.5	17.5	181.298	219.336
275	1	18	2	125.5	5	1	3	3	2	2.5	7.5	181.293	219.34
277	0	21	3	75.5	20	1	2	1	2	12.5	12.5	181.239	219.413
278	0	16	2	75.5	5	1	3	2	2	2.5	17.5	181.156	219.158
279	0	16	1	75.5	12.5	2	3	2	2	2.5	22.5	181.156	219.164
280	1	16	2	75.5	20	1	3	2	2	7.5	22.5	181.154	219.15
281	1	16	1	125.5	5	1	3	2	2	2.5	22.5	181.148	219.191
282	0	16	1	350	5	1	3	2	2	2.5	22.5	181.159	219.17
283	1	16	2	125.5	12.5	1	3	2	2	7.5	17.5	181.133	219.212
284	3	16	2	75.5	12.5	1	3	1	2	7.5	12.5	181.134	219.213
285	7	16	3	125.5	12.5	1	3	1	2	7.5	12.5	181.144	219.237
286	2	16	2	75.5	12.5	1	3	2	2	20	22.5	181.171	219.249
287	5	16	2	75.5	20	1	3	2	1	12.5	22.5	181.182	219.263
288	7	16	3	350	20	2	3	2	2	20	22.5	181.207	219.282
289	1	19	3	75.5	12.5	0	3	1	1	20	22.5	181.228	219.334
290	4	19	3	75.5	5	1	3	2	2	20	17.5	181.23	219.363
