Proefvlak;Boom;Ploeg;Meting;Omtrek;Referentie;Toestel;Hoogte
1;1;1;1;106;106,0333333;1;22,75
1;1;1;2;105;106,0333333;1;21,92
1;1;1;3;105;106,0333333;1;20,7
1;1;2;1;108;106,0333333;1;21,32
1;1;2;2;108;106,0333333;1;21,96
1;1;2;3;106;106,0333333;1;20,65
1;1;3;1;110;106,0333333;1;20,36
1;1;4;1;105;106,0333333;2;24,1
1;1;4;1;105;106,0333333;1;24,45
1;1;4;2;106;106,0333333;1;23,07
1;1;4;2;106;106,0333333;2;23,2
1;1;4;3;105;106,0333333;1;22,12
1;1;4;3;105;106,0333333;2;22,12
1;1;5;1;107,5;106,0333333;2;20,6
1;1;6;1;107;106,0333333;NA;NA
1;1;6;2;108;106,0333333;NA;NA
1;1;6;3;107;106,0333333;NA;NA
1;1;7;1;106,6;106,0333333;NA;NA
1;1;7;2;105,6;106,0333333;NA;NA
1;1;7;3;105,9;106,0333333;NA;NA
1;2;1;1;109;108,8666667;1;20,57
1;2;2;1;109;108,8666667;1;23,94
1;2;3;1;111;108,8666667;1;20,2
1;2;3;2;110;108,8666667;1;19,69
1;2;3;3;99;108,8666667;1;19,26
1;2;4;1;109;108,8666667;1;23,13
1;2;4;1;109;108,8666667;2;23,3
1;2;5;1;110;108,8666667;2;21,4
1;2;6;1;110;108,8666667;NA;NA
1;2;7;1;109,1;108,8666667;NA;NA
1;2;7;2;108,5;108,8666667;NA;NA
1;2;7;3;109;108,8666667;NA;NA
1;3;1;1;103;101,4;1;22,36
1;3;1;2;103;101,4;1;21,73
1;3;1;3;103;101,4;1;20,83
1;3;2;1;102;101,4;1;20,27
1;3;3;1;103;101,4;1;20,56
1;3;3;2;103;101,4;1;20,61
1;3;3;3;103;101,4;1;21,17
1;3;4;1;101;101,4;1;23,38
1;3;4;1;101;101,4;2;22,9
1;3;5;1;103;101,4;2;19,6
1;3;5;2;102;101,4;2;18,6
1;3;5;3;102,5;101,4;2;19,9
1;3;6;1;103;101,4;NA;NA
1;3;7;1;101,5;101,4;NA;NA
1;3;7;2;101,3;101,4;NA;NA
1;3;7;3;101,4;101,4;NA;NA
1;4;1;1;112;112,3;1;21,84
1;4;2;1;114;112,3;1;21,57
1;4;3;1;114;112,3;1;20,87
1;4;4;1;113;112,3;2;24
1;4;4;1;113;112,3;1;23,31
1;4;4;2;112;112,3;1;22,47
1;4;4;2;112;112,3;2;22,9
1;4;4;3;113;112,3;1;22,27
1;4;4;3;113;112,3;2;22
1;4;5;1;114,5;112,3;2;21
1;4;5;2;114,5;112,3;2;21
1;4;5;3;114;112,3;2;21,7
1;4;6;1;114;112,3;NA;NA
1;4;6;2;114;112,3;NA;NA
1;4;6;3;113;112,3;NA;NA
1;4;7;1;112,5;112,3;NA;NA
1;4;7;2;112,3;112,3;NA;NA
1;4;7;3;112,1;112,3;NA;NA
1;5;1;1;115;116,7;1;21,73
1;5;2;1;117;116,7;1;21,46
1;5;3;1;118;116,7;1;22,6
1;5;4;1;116;116,7;2;25,3
1;5;4;1;116;116,7;1;26,29
1;5;4;2;116;116,7;2;24,5
1;5;4;2;116;116,7;1;24,3
1;5;4;3;116;116,7;1;23,38
1;5;4;3;116;116,7;2;24,2
1;5;5;1;117;116,7;2;22,4
1;5;5;2;118;116,7;2;20,8
1;5;5;3;117,5;116,7;2;23,6
1;5;5;4;NA;NA;2;21,2
1;5;6;1;117;116,7;NA;NA
1;5;7;1;117,1;116,7;NA;NA
1;5;7;2;116,6;116,7;NA;NA
1;5;7;3;116,4;116,7;NA;NA
1;6;1;1;98;94,76666667;1;21,01
1;6;1;2;109;94,76666667;1;21,86
1;6;1;3;98;94,76666667;1;21,12
1;6;2;1;100;94,76666667;1;21,69
1;6;2;2;99;94,76666667;1;21,09
1;6;2;3;99;94,76666667;1;20,14
1;6;3;1;99;94,76666667;1;20,11
1;6;3;2;99;94,76666667;1;20,29
1;6;3;3;99;94,76666667;1;21,25
1;6;4;1;98;94,76666667;2;20,9
1;6;4;1;98;94,76666667;1;20,91
1;6;4;2;100;94,76666667;1;20,67
1;6;4;2;100;94,76666667;2;20,7
1;6;4;3;99;94,76666667;1;20,21
1;6;4;3;99;94,76666667;2;20,4
1;6;5;1;100,5;94,76666667;2;19,5
