"t","w"
2011-06-20,29.29
2011-06-21,29.29
2011-06-22,29.28
2011-06-23,29.27
2011-06-24,29.26
2011-06-25,29.25
2011-06-26,29.25
2011-06-27,29.24
2011-06-28,29.23
2011-06-29,29.23
2011-06-30,29.22
2011-07-01,29.21
2011-07-02,29.2
2011-07-03,29.19
2011-07-04,29.19
2011-07-05,29.18
2011-07-06,29.18
2011-07-07,29.17
2011-07-08,29.16
2011-07-09,29.15
2011-07-10,29.13
2011-07-11,29.12
2011-07-12,29.11
2011-07-13,29.11
2011-07-14,29.1
2011-07-15,29.1
2011-07-16,29.08
2011-07-17,29.1
2011-07-18,29.1
2011-07-19,29.09
2011-07-20,29.09
2011-07-21,29.09
2011-07-22,29.1
2011-07-23,29.1
2011-07-24,29.12
2011-07-25,29.13
2011-07-26,29.14
2011-07-27,29.15
2011-07-28,29.15
2011-07-29,29.16
2011-07-30,29.16
2011-07-31,29.16
2011-08-01,29.17
2011-08-02,29.17
2011-08-03,29.17
2011-08-04,29.16
2011-08-05,29.17
2011-08-06,29.16
2011-08-07,29.17
2011-08-08,29.17
2011-08-09,29.17
2011-08-10,29.15
2011-08-11,29.15
2011-08-12,29.16
2011-08-13,29.15
2011-08-14,29.16
2011-08-15,29.17
2011-08-16,29.18
2011-08-17,29.19
2011-08-18,29.19
2011-08-19,29.22
2011-08-20,29.25
2011-08-21,29.27
2011-08-22,29.29
2011-08-23,29.33
2011-08-24,29.44
2011-08-25,29.54
2011-08-26,29.64
2011-08-27,29.72
2011-08-28,29.8
2011-08-29,29.86
2011-08-30,29.92
2011-08-31,29.97
2011-09-01,30.02
2011-09-02,30.06
2011-09-03,30.1
2011-09-04,30.14
2011-09-05,30.18
2011-09-06,30.2
2011-09-07,30.23
2011-09-08,30.26
2011-09-09,30.28
2011-09-10,30.3
2011-09-11,30.32
2011-09-12,30.34
2011-09-13,30.36
2011-09-14,30.37
2011-09-15,30.38
2011-09-16,30.38
2011-09-17,30.39
2011-09-18,30.4
2011-09-19,30.41
2011-09-20,30.42
2011-09-21,30.41
2011-09-22,30.42
2011-09-23,30.42
2011-09-24,30.42
2011-09-25,30.43
2011-09-26,30.43
2011-09-27,30.43
2011-09-28,30.42
2011-09-29,30.42
2011-09-30,30.41
2011-10-01,30.41
2011-10-02,30.4
2011-10-03,30.4
2011-10-04,30.4
2011-10-05,30.38
2011-10-06,30.38
2011-10-07,30.36
2011-10-08,30.36
2011-10-09,30.36
2011-10-10,30.36
2011-10-11,30.37
2011-10-12,30.36
2011-10-13,30.38
2011-10-14,30.36
2011-10-15,30.35
2011-10-16,30.36
2011-10-17,30.35
2011-10-18,30.35
2011-10-19,30.36
2011-10-20,30.36
2011-10-21,30.35
2011-10-22,30.35
2011-10-23,30.35
2011-10-24,30.34
2011-10-25,30.35
2011-10-26,30.36
2011-10-27,30.36
2011-10-28,30.36
2011-10-29,30.36
2011-10-30,30.36
2011-10-31,30.36
2011-11-01,30.37
2011-11-02,30.36
2011-11-03,30.37
2011-11-04,30.38
2011-11-05,30.38
2011-11-06,30.38
2011-11-07,30.37
2011-11-08,30.37
2011-11-09,30.38
2011-11-10,30.38
2011-11-11,30.38
2011-11-12,30.38
2011-11-13,30.38
2011-11-14,30.37
2011-11-15,30.38
2011-11-16,30.37
2011-11-17,30.38
2011-11-18,30.37
2011-11-19,30.37
2011-11-20,30.37
2011-11-21,30.37
2011-11-22,30.37
2011-11-23,30.38
2011-11-24,30.38
2011-11-25,30.39
2011-11-26,30.38
2011-11-27,30.38
2011-11-28,30.38
2011-11-29,30.38
2011-11-30,30.39
2011-12-01,30.38
2011-12-02,30.39
2011-12-03,30.38
2011-12-04,30.39
2011-12-05,30.41
2011-12-06,30.41
2011-12-07,30.42
2011-12-08,30.41
2011-12-09,30.43
2011-12-10,30.43
2011-12-11,30.43
2011-12-12,30.45
2011-12-13,30.47
2011-12-14,30.45
2011-12-15,30.46
2011-12-16,30.48
2011-12-17,30.56
2011-12-18,30.57
2011-12-19,30.59
2011-12-20,30.59
2011-12-21,30.59
2011-12-22,30.59
2011-12-23,30.56
2011-12-24,30.58
2011-12-25,30.57
2011-12-26,30.57
2011-12-27,30.56
2011-12-28,30.55
2011-12-29,30.54
2011-12-30,30.55
2011-12-31,30.54
2012-01-01,30.54
2012-01-02,30.55
2012-01-03,30.53
2012-01-04,30.55
2012-01-05,30.53
2012-01-06,30.55
2012-01-07,30.55
2012-01-08,30.55
2012-01-09,30.55
2012-01-10,30.55
2012-01-11,30.54
2012-01-12,30.53
2012-01-13,30.54
2012-01-14,30.53
2012-01-15,30.53
2012-01-16,30.53
2012-01-17,30.53
2012-01-18,30.52
2012-01-19,30.51
2012-01-20,30.52
2012-01-21,30.52
2012-01-22,30.51
2012-01-23,30.53
2012-01-24,30.52
2012-01-25,30.52
2012-01-26,30.52
2012-01-27,30.53
2012-01-28,30.53
2012-01-29,30.52
2012-01-30,30.52
2012-01-31,30.52
2012-02-01,30.52
2012-02-02,30.51
2012-02-03,30.52
2012-02-04,30.51
2012-02-05,30.51
2012-02-06,30.52
2012-02-07,30.5
2012-02-08,30.49
2012-02-09,30.48
2012-02-10,30.47
2012-02-11,30.45
2012-02-12,30.44
2012-02-13,30.41
2012-02-14,30.46
2012-02-15,30.47
2012-02-16,30.47
2012-02-17,30.49
2012-02-18,30.48
2012-02-19,30.5
2012-02-20,30.5
2012-02-21,30.5
2012-02-22,30.5
2012-02-23,30.51
2012-02-24,30.5
2012-02-25,30.5
2012-02-26,30.51
2012-02-27,30.51
2012-02-28,30.52
2012-02-29,30.51
2012-03-01,30.51
2012-03-02,30.51
2012-03-03,30.51
2012-03-04,30.5
2012-03-05,30.5
2012-03-06,30.52
2012-03-07,30.5
2012-03-08,30.53
2012-03-09,30.52
2012-03-10,30.52
2012-03-11,30.52
2012-03-12,30.52
2012-03-13,30.52
2012-03-14,30.52
2012-03-15,30.52
2012-03-16,30.52
2012-03-17,30.52
2012-03-18,30.53
2012-03-19,30.52
2012-03-20,30.52
2012-03-21,30.51
2012-03-22,30.51
2012-03-23,30.51
2012-03-24,30.51
2012-03-25,30.52
2012-03-26,30.5
2012-03-27,30.5
2012-03-28,30.5
2012-03-29,30.5
2012-03-30,30.5
2012-03-31,30.49
2012-04-01,30.49
2012-04-02,30.48
2012-04-03,30.48
2012-04-04,30.49
2012-04-05,30.49
2012-04-06,30.47
2012-04-07,30.48
2012-04-08,30.48
2012-04-09,30.47
2012-04-10,30.48
2012-04-11,30.48
2012-04-12,30.48
2012-04-13,30.48
2012-04-14,30.48
2012-04-15,30.5
2012-04-16,30.48
2012-04-17,30.47
2012-04-18,30.49
2012-04-19,30.5
2012-04-20,30.5
2012-04-21,30.5
2012-04-22,30.5
2012-04-23,30.49
2012-04-24,30.51
2012-04-25,30.5
2012-04-26,30.52
2012-04-27,30.52
2012-04-28,30.51
2012-04-29,30.52
2012-04-30,30.51
2012-05-01,30.53
2012-05-02,30.51
2012-05-03,30.52
2012-05-04,30.52
2012-05-05,30.52
2012-05-06,30.53
2012-05-07,30.53
2012-05-08,30.53
2012-05-09,30.53
2012-05-10,30.53
2012-05-11,30.53
2012-05-12,30.54
2012-05-13,30.52
2012-05-14,30.52
2012-05-15,30.53
2012-05-16,30.53
2012-05-17,30.52
2012-05-18,30.54
2012-05-19,30.53
2012-05-20,30.53
2012-05-21,30.52
2012-05-22,30.54
2012-05-23,30.54
2012-05-24,30.53
2012-05-25,30.52
2012-05-26,30.52
2012-05-27,30.52
2012-05-28,30.52
2012-05-29,30.51
2012-05-30,30.51
2012-05-31,30.5
2012-06-01,30.5
2012-06-02,30.49
2012-06-03,30.48
2012-06-04,30.48
2012-06-05,30.47
2012-06-06,30.48
2012-06-07,30.46
2012-06-08,30.48
2012-06-09,30.49
2012-06-10,30.47
2012-06-11,30.48
2012-06-12,30.49
2012-06-13,30.49
2012-06-14,30.48
2012-06-15,30.49
2012-06-16,30.49
2012-06-17,30.49
2012-06-18,30.51
2012-06-19,30.49
2012-06-20,30.5
2012-06-21,30.5
2012-06-22,30.51
2012-06-23,30.51
2012-06-24,30.51
2012-06-25,30.51
2012-06-26,30.52
2012-06-27,30.51
2012-06-28,30.5
2012-06-29,30.51
2012-06-30,30.51
2012-07-01,30.5
2012-07-02,30.49
2012-07-03,30.49
2012-07-04,30.48
2012-07-05,30.48
2012-07-06,30.48
2012-07-07,30.47
2012-07-08,30.47
2012-07-09,30.47
2012-07-10,30.47
2012-07-11,30.46
2012-07-12,30.46
2012-07-13,30.46
2012-07-14,30.47
2012-07-15,30.47
2012-07-16,30.47
2012-07-17,30.49
2012-07-18,30.48
2012-07-19,30.49
2012-07-20,30.49
2012-07-21,30.5
2012-07-22,30.5
2012-07-23,30.5
2012-07-24,30.49
2012-07-25,30.5
2012-07-26,30.49
2012-07-27,30.48
2012-07-28,30.49
2012-07-29,30.48
2012-07-30,30.47
2012-07-31,30.46
2012-08-01,30.45
2012-08-02,30.46
2012-08-03,30.45
2012-08-04,30.44
2012-08-05,30.43
2012-08-06,30.43
2012-08-07,30.42
2012-08-08,30.41
2012-08-09,30.39
2012-08-10,30.37
2012-08-11,30.34
2012-08-12,30.32
2012-08-13,30.3
2012-08-14,30.28
2012-08-15,30.23
2012-08-16,30.22
2012-08-17,30.18
2012-08-18,30.15
2012-08-19,30.11
2012-08-20,30.07
2012-08-21,30.03
2012-08-22,30
2012-08-23,29.96
2012-08-24,29.94
2012-08-25,29.9
2012-08-26,29.89
2012-08-27,29.83
2012-08-28,29.83
2012-08-29,29.78
2012-08-30,29.76
2012-08-31,29.74
2012-09-01,29.7
2012-09-02,29.69
2012-09-03,29.66
2012-09-04,29.64
2012-09-05,29.63
2012-09-06,29.6
2012-09-07,29.58
2012-09-08,29.55
2012-09-09,29.54
2012-09-10,29.52
2012-09-11,29.51
2012-09-12,29.47
2012-09-13,29.47
2012-09-14,29.45
2012-09-15,29.44
2012-09-16,29.41
2012-09-17,29.41
2012-09-18,29.4
2012-09-19,29.39
2012-09-20,29.36
2012-09-21,29.34
2012-09-22,29.36
2012-09-23,29.32
2012-09-24,29.32
2012-09-25,29.32
2012-09-26,29.31
2012-09-27,29.31
2012-09-28,29.3
2012-09-29,29.3
2012-09-30,29.29
2012-10-01,29.29
2012-10-02,29.3
2012-10-03,29.3
2012-10-04,29.32
2012-10-05,29.4
2012-10-06,29.5
2012-10-07,29.55
2012-10-08,29.62
2012-10-09,29.69
2012-10-10,29.74
2012-10-11,29.77
2012-10-12,29.84
2012-10-13,29.87
2012-10-14,29.91
2012-10-15,29.96
2012-10-16,30.02
2012-10-17,30.05
2012-10-18,30.08
2012-10-19,30.1
2012-10-20,30.14
2012-10-21,30.15
2012-10-22,30.18
2012-10-23,30.19
2012-10-24,30.2
2012-10-25,30.21
2012-10-26,30.2
2012-10-27,30.23
2012-10-28,30.24
2012-10-29,30.25
2012-10-30,30.26
2012-10-31,30.27
2012-11-01,30.29
2012-11-02,30.3
2012-11-03,30.3
2012-11-04,30.3
2012-11-05,30.34
2012-11-06,30.35
2012-11-07,30.36
2012-11-08,30.36
2012-11-09,30.37
2012-11-10,30.38
2012-11-11,30.4
2012-11-12,30.41
2012-11-13,30.41
2012-11-14,30.4
2012-11-15,30.41
2012-11-16,30.41
2012-11-17,30.42
2012-11-18,30.43
2012-11-19,30.42
2012-11-20,30.44
2012-11-21,30.44
2012-11-22,30.44
2012-11-23,30.45
2012-11-24,30.44
2012-11-25,30.47
2012-11-26,30.44
2012-11-27,30.45
2012-11-28,30.46
2012-11-29,30.45
2012-11-30,30.46
2012-12-01,30.46
2012-12-02,30.46
2012-12-03,30.44
2012-12-04,30.46
2012-12-05,30.47
2012-12-06,30.48
2012-12-07,30.47
2012-12-08,30.5
2012-12-09,30.48
2012-12-10,30.49
2012-12-11,30.5
2012-12-12,30.48
2012-12-13,30.48
2012-12-14,30.47
2012-12-15,30.51
2012-12-16,30.5
2012-12-17,30.5
2012-12-18,30.51
2012-12-19,30.51
2012-12-20,30.5
2012-12-21,30.52
2012-12-22,30.5
2012-12-23,30.53
2012-12-24,30.64
2012-12-25,30.65
2012-12-26,30.66
2012-12-27,30.63
2012-12-28,30.64
2012-12-29,30.61
2012-12-30,30.61
2012-12-31,30.59
2013-01-01,30.62
2013-01-02,30.6
2013-01-03,30.6
2013-01-04,30.58
2013-01-05,30.58
2013-01-06,30.57
2013-01-07,30.57
2013-01-08,30.56
2013-01-09,30.55
2013-01-10,30.55
2013-01-11,30.56
2013-01-12,30.54
2013-01-13,30.54
2013-01-14,30.53
2013-01-15,30.54
2013-01-16,30.53
2013-01-17,30.53
2013-01-18,30.51
2013-01-19,30.54
2013-01-20,30.52
2013-01-21,30.53
2013-01-22,30.53
2013-01-23,30.53
2013-01-24,30.53
2013-01-25,30.52
2013-01-26,30.52
2013-01-27,30.52
2013-01-28,30.54
2013-01-29,30.52
2013-01-30,30.54
2013-01-31,30.54
2013-02-01,30.51
2013-02-02,30.57
2013-02-03,30.53
2013-02-04,30.55
2013-02-05,30.54
2013-02-06,30.57
2013-02-07,30.55
2013-02-08,30.55
2013-02-09,30.54
2013-02-10,30.52
2013-02-11,30.55
2013-02-12,30.55
2013-02-13,30.55
2013-02-14,30.53
2013-02-15,30.54
2013-02-16,30.54
2013-02-17,30.54
2013-02-18,30.54
2013-02-19,30.53
2013-02-20,30.53
2013-02-21,30.53
2013-02-22,30.53
2013-02-23,30.53
2013-02-24,30.53
2013-02-25,30.53
2013-02-26,30.54
2013-02-27,30.53
2013-02-28,30.53
2013-03-01,30.53
2013-03-02,30.53
2013-03-03,30.52
2013-03-04,30.51
2013-03-05,30.52
2013-03-06,30.52
2013-03-07,30.52
2013-03-08,30.52
2013-03-09,30.52
2013-03-10,30.52
2013-03-11,30.51
2013-03-12,30.52
2013-03-13,30.53
2013-03-14,30.53
2013-03-15,30.52
2013-03-16,30.52
2013-03-17,30.52
2013-03-18,30.52
2013-03-19,30.53
2013-03-20,30.53
2013-03-21,30.53
2013-03-22,30.52
2013-03-23,30.53
2013-03-24,30.53
2013-03-25,30.52
2013-03-26,30.52
2013-03-27,30.52
2013-03-28,30.52
2013-03-29,30.51
2013-03-30,30.52
2013-03-31,30.52
2013-04-01,30.52
2013-04-02,30.52
2013-04-03,30.52
2013-04-04,30.51
2013-04-05,30.52
2013-04-06,30.53
2013-04-07,30.51
2013-04-08,30.5
2013-04-09,30.51
2013-04-10,30.52
2013-04-11,30.52
2013-04-12,30.52
2013-04-13,30.52
2013-04-14,30.51
2013-04-15,30.52
2013-04-16,30.52
2013-04-17,30.51
2013-04-18,30.52
2013-04-19,30.52
2013-04-20,30.5
2013-04-21,30.5
2013-04-22,30.5
2013-04-23,30.52
2013-04-24,30.5
2013-04-25,30.5
2013-04-26,30.49
2013-04-27,30.49
2013-04-28,30.49
2013-04-29,30.5
2013-04-30,30.49
2013-05-01,30.48
2013-05-02,30.49
2013-05-03,30.48
2013-05-04,30.48
2013-05-05,30.48
2013-05-06,30.47
2013-05-07,30.46
2013-05-08,30.48
2013-05-09,30.46
2013-05-10,30.48
2013-05-11,30.45
2013-05-12,30.47
2013-05-13,30.46
2013-05-14,30.46
2013-05-15,30.47
2013-05-16,30.45
2013-05-17,30.47
2013-05-18,30.47
2013-05-19,30.46
2013-05-20,30.47
2013-05-21,30.48
2013-05-22,30.48
2013-05-23,30.48
2013-05-24,30.48
2013-05-25,30.49
2013-05-26,30.48
2013-05-27,30.48
2013-05-28,30.49
2013-05-29,30.5
2013-05-30,30.51
2013-05-31,30.5
2013-06-01,30.51
2013-06-02,30.51
2013-06-03,30.5
2013-06-04,30.5
2013-06-05,30.5
2013-06-06,30.5
2013-06-07,30.5
2013-06-08,30.48
2013-06-09,30.48
2013-06-10,30.49
2013-06-11,30.48
2013-06-12,30.48
2013-06-13,30.47
2013-06-14,30.46
2013-06-15,30.47
2013-06-16,30.45
2013-06-17,30.42
2013-06-18,30.42
2013-06-19,30.44
2013-06-20,30.41
2013-06-21,30.4
2013-06-22,30.39
2013-06-23,30.39
2013-06-24,30.38
2013-06-25,30.37
