"t","w"
2010-01-01,30.45
2010-01-02,30.46
2010-01-03,30.46
2010-01-04,30.45
2010-01-05,30.45
2010-01-06,30.45
2010-01-07,30.46
2010-01-08,30.45
2010-01-09,30.44
2010-01-10,30.43
2010-01-11,30.44
2010-01-12,30.43
2010-01-13,30.44
2010-01-14,30.44
2010-01-15,30.45
2010-01-16,30.44
2010-01-17,30.45
2010-01-18,30.45
2010-01-19,30.45
2010-01-20,30.46
2010-01-21,30.46
2010-01-22,30.46
2010-01-23,30.46
2010-01-24,30.46
2010-01-25,30.46
2010-01-26,30.46
2010-01-27,30.45
2010-01-28,30.45
2010-01-29,30.45
2010-01-30,30.46
2010-01-31,30.47
2010-02-01,30.47
2010-02-02,30.46
2010-02-03,30.47
2010-02-04,30.47
2010-02-05,30.47
2010-02-06,30.47
2010-02-07,30.47
2010-02-08,30.47
2010-02-09,30.47
2010-02-10,30.48
2010-02-11,30.47
2010-02-12,30.46
2010-02-13,30.46
2010-02-14,30.46
2010-02-15,30.45
2010-02-16,30.46
2010-02-17,30.46
2010-02-18,30.47
2010-02-19,30.47
2010-02-20,30.47
2010-02-21,30.47
2010-02-22,30.46
2010-02-23,30.46
2010-02-24,30.46
2010-02-25,30.47
2010-02-26,30.48
2010-02-27,30.48
2010-02-28,30.47
2010-03-01,30.5
2010-03-02,30.5
2010-03-03,30.5
2010-03-04,30.5
2010-03-05,30.5
2010-03-06,30.5
2010-03-07,30.5
2010-03-08,30.49
2010-03-09,30.49
2010-03-10,30.49
2010-03-11,30.48
2010-03-12,30.48
2010-03-13,30.48
2010-03-14,30.47
2010-03-15,30.47
2010-03-16,30.47
2010-03-17,30.46
2010-03-18,30.46
2010-03-19,30.46
2010-03-20,30.46
2010-03-21,30.47
2010-03-22,30.46
2010-03-23,30.46
2010-03-24,30.45
2010-03-25,30.45
2010-03-26,30.46
2010-03-27,30.45
2010-03-28,30.46
2010-03-29,30.45
2010-03-30,30.46
2010-03-31,30.46
2010-04-01,30.47
2010-04-02,30.46
2010-04-03,30.46
2010-04-04,30.47
2010-04-05,30.47
2010-04-06,30.46
2010-04-07,30.46
2010-04-08,30.46
2010-04-09,30.47
2010-04-10,30.46
2010-04-11,30.46
2010-04-12,30.46
2010-04-13,30.45
2010-04-14,30.45
2010-04-15,30.45
2010-04-16,30.45
2010-04-17,30.44
2010-04-18,30.43
2010-04-19,30.43
2010-04-20,30.43
2010-04-21,30.42
2010-04-22,30.42
2010-04-23,30.41
2010-04-24,30.41
2010-04-25,30.4
2010-04-26,30.39
2010-04-27,30.38
2010-04-28,30.36
2010-04-29,30.34
2010-04-30,30.33
2010-05-01,30.31
2010-05-02,30.3
2010-05-03,30.29
2010-05-04,30.29
2010-05-05,30.28
2010-05-06,30.27
2010-05-07,30.27
2010-05-08,30.26
2010-05-09,30.25
2010-05-10,30.24
2010-05-11,30.23
2010-05-12,30.23
2010-05-13,30.24
2010-05-14,30.24
2010-05-15,30.24
2010-05-16,30.24
2010-05-17,30.24
2010-05-18,30.23
2010-05-19,30.22
2010-05-20,30.2
2010-05-21,30.19
2010-05-22,30.17
2010-05-23,30.14
2010-05-24,30.12
2010-05-25,30.1
2010-05-26,30.07
2010-05-27,30.09
2010-05-28,30.1
2010-05-29,30.1
2010-05-30,30.1
2010-05-31,30.11
2010-06-01,30.1
2010-06-02,30.1
2010-06-03,30.09
2010-06-04,30.07
2010-06-05,30.05
2010-06-06,30.04
2010-06-07,30.02
2010-06-08,30
2010-06-09,30.01
2010-06-10,30.03
2010-06-11,30.06
2010-06-12,30.09
2010-06-13,30.11
2010-06-14,30.12
2010-06-15,30.13
2010-06-16,30.13
2010-06-17,30.12
2010-06-18,30.11
2010-06-19,30.09
2010-06-20,30.07
2010-06-21,30.06
2010-06-22,30.04
2010-06-23,30.02
2010-06-24,30
2010-06-25,29.98
2010-06-26,29.95
2010-06-27,29.93
2010-06-28,29.9
2010-06-29,29.87
2010-06-30,29.83
2010-07-01,29.8
2010-07-02,29.77
2010-07-03,29.74
2010-07-04,29.7
2010-07-05,29.68
2010-07-06,29.64
2010-07-07,29.62
2010-07-08,29.59
2010-07-09,29.56
2010-07-10,29.53
2010-07-11,29.51
2010-07-12,29.45
2010-07-13,29.47
2010-07-14,29.45
2010-07-15,29.44
2010-07-16,29.43
2010-07-17,29.41
2010-07-18,29.4
2010-07-19,29.37
2010-07-20,29.36
2010-07-21,29.35
2010-07-22,29.34
2010-07-23,29.31
2010-07-24,29.3
2010-07-25,29.28
2010-07-26,29.27
2010-07-27,29.26
2010-07-28,29.24
2010-07-29,29.23
2010-07-30,29.22
2010-07-31,29.21
2010-08-01,29.2
2010-08-02,29.18
2010-08-03,29.17
2010-08-04,29.16
2010-08-05,29.15
2010-08-06,29.14
2010-08-07,29.13
2010-08-08,29.12
2010-08-09,29.11
2010-08-10,29.1
2010-08-11,29.1
2010-08-12,29.08
2010-08-13,29.08
2010-08-14,29.07
2010-08-15,29.06
2010-08-16,29.06
2010-08-17,29.09
2010-08-18,29.15
2010-08-19,29.21
2010-08-20,29.25
2010-08-21,29.29
2010-08-22,29.31
2010-08-23,29.34
2010-08-24,29.38
2010-08-25,29.4
2010-08-26,29.42
2010-08-27,29.45
2010-08-28,29.47
2010-08-29,29.49
2010-08-30,29.51
2010-08-31,29.54
2010-09-01,29.55
2010-09-02,29.57
2010-09-03,29.59
2010-09-04,29.6
2010-09-05,29.6
2010-09-06,29.59
2010-09-07,29.6
2010-09-08,29.6
2010-09-09,29.65
2010-09-10,29.71
2010-09-11,29.76
2010-09-12,29.8
2010-09-13,29.86
2010-09-14,29.9
2010-09-15,29.92
2010-09-16,29.97
2010-09-17,29.99
2010-09-18,30.01
2010-09-19,30.02
2010-09-20,30.03
2010-09-21,30.04
2010-09-22,30.04
2010-09-23,30.04
2010-09-24,30.05
2010-09-25,30.06
2010-09-26,30.09
2010-09-27,30.12
2010-09-28,30.16
2010-09-29,30.18
2010-09-30,30.2
2010-10-01,30.22
2010-10-02,30.24
2010-10-03,30.26
2010-10-04,30.28
2010-10-05,30.3
2010-10-06,30.31
2010-10-07,30.32
2010-10-08,30.32
2010-10-09,30.33
2010-10-10,30.33
2010-10-11,30.33
2010-10-12,30.34
2010-10-13,30.34
2010-10-14,30.34
2010-10-15,30.34
2010-10-16,30.34
2010-10-17,30.34
2010-10-18,30.34
2010-10-19,30.34
2010-10-20,30.36
2010-10-21,30.36
2010-10-22,30.37
2010-10-23,30.36
2010-10-24,30.39
2010-10-25,30.39
2010-10-26,30.39
2010-10-27,30.4
2010-10-28,30.4
2010-10-29,30.4
2010-10-30,30.4
2010-10-31,30.41
2010-11-01,30.41
2010-11-02,30.41
2010-11-03,30.42
2010-11-04,30.42
2010-11-05,30.42
2010-11-06,30.42
2010-11-07,30.42
2010-11-08,30.42
2010-11-09,30.43
2010-11-10,30.44
2010-11-11,30.42
2010-11-12,30.45
2010-11-13,30.45
2010-11-14,30.55
2010-11-15,30.56
2010-11-16,30.57
2010-11-17,30.56
2010-11-18,30.57
2010-11-19,30.57
2010-11-20,30.56
2010-11-21,30.55
2010-11-22,30.55
2010-11-23,30.54
2010-11-24,30.53
2010-11-25,30.52
2010-11-26,30.52
2010-11-27,30.52
2010-11-28,30.51
2010-11-29,30.5
2010-11-30,30.5
2010-12-01,30.5
2010-12-02,30.5
2010-12-03,30.5
2010-12-04,30.49
2010-12-05,30.48
2010-12-06,30.5
2010-12-07,30.5
2010-12-08,30.5
2010-12-09,30.5
2010-12-10,30.5
2010-12-11,30.5
2010-12-12,30.5
2010-12-13,30.51
2010-12-14,30.51
2010-12-15,30.49
2010-12-16,30.47
2010-12-17,30.5
2010-12-18,30.5
2010-12-19,30.5
2010-12-20,30.5
2010-12-21,30.5
2010-12-22,30.49
2010-12-23,30.5
2010-12-24,30.5
2010-12-25,30.5
2010-12-26,30.5
2010-12-27,30.5
2010-12-28,30.51
2010-12-29,30.5
2010-12-30,30.5
2010-12-31,30.5
2011-01-01,30.5
2011-01-02,30.51
2011-01-03,30.51
2011-01-04,30.51
2011-01-05,30.51
2011-01-06,30.5
2011-01-07,30.5
2011-01-08,30.51
2011-01-09,30.52
2011-01-10,30.52
2011-01-11,30.52
2011-01-12,30.51
2011-01-13,30.56
2011-01-14,30.61
2011-01-15,30.63
2011-01-16,30.62
2011-01-17,30.61
2011-01-18,30.6
2011-01-19,30.59
2011-01-20,30.58
2011-01-21,30.58
2011-01-22,30.56
2011-01-23,30.55
2011-01-24,30.54
2011-01-25,30.53
2011-01-26,30.53
2011-01-27,30.54
2011-01-28,30.52
2011-01-29,30.52
2011-01-30,30.52
2011-01-31,30.51
2011-02-01,30.51
2011-02-02,30.5
2011-02-03,30.49
2011-02-04,30.49
2011-02-05,30.49
2011-02-06,30.49
2011-02-07,30.48
2011-02-08,30.48
2011-02-09,30.48
2011-02-10,30.47
2011-02-11,30.47
2011-02-12,30.47
2011-02-13,30.47
2011-02-14,30.47
2011-02-15,30.46
2011-02-16,30.47
2011-02-17,30.47
2011-02-18,30.47
2011-02-19,30.47
2011-02-20,30.46
2011-02-21,30.46
2011-02-22,30.47
2011-02-23,30.46
2011-02-24,30.46
2011-02-25,30.46
2011-02-26,30.45
2011-02-27,30.46
2011-02-28,30.47
2011-03-01,30.47
2011-03-02,30.46
2011-03-03,30.46
2011-03-04,30.46
2011-03-05,30.45
2011-03-06,30.46
2011-03-07,30.46
2011-03-08,30.45
2011-03-09,30.45
2011-03-10,30.45
2011-03-11,30.45
2011-03-12,30.43
2011-03-13,30.45
2011-03-14,30.44
2011-03-15,30.43
2011-03-16,30.43
2011-03-17,30.45
2011-03-18,30.44
2011-03-19,30.44
2011-03-20,30.44
2011-03-21,30.44
2011-03-22,30.44
2011-03-23,30.44
2011-03-24,30.43
2011-03-25,30.43
2011-03-26,30.44
2011-03-27,30.43
2011-03-28,30.43
2011-03-29,30.43
2011-03-30,30.43
2011-03-31,30.43
2011-04-01,30.43
2011-04-02,30.42
2011-04-03,30.43
2011-04-04,30.43
2011-04-05,30.43
2011-04-06,30.43
2011-04-07,30.43
2011-04-08,30.43
2011-04-09,30.43
2011-04-10,30.42
2011-04-11,30.42
2011-04-12,30.42
2011-04-13,30.41
2011-04-14,30.42
2011-04-15,30.41
2011-04-16,30.41
2011-04-17,30.41
2011-04-18,30.4
2011-04-19,30.4
2011-04-20,30.39
2011-04-21,30.38
2011-04-22,30.37
2011-04-23,30.35
2011-04-24,30.34
2011-04-25,30.31
2011-04-26,30.29
2011-04-27,30.26
2011-04-28,30.24
2011-04-29,30.22
2011-04-30,30.21
2011-05-01,30.19
2011-05-02,30.16
2011-05-03,30.14
2011-05-04,30.11
2011-05-05,30.08
2011-05-06,30.06
2011-05-07,30.04
2011-05-08,30.02
2011-05-09,29.99
2011-05-10,29.96
2011-05-11,29.93
2011-05-12,29.91
2011-05-13,29.89
2011-05-14,29.88
2011-05-15,29.85
2011-05-16,29.84
2011-05-17,29.82
2011-05-18,29.8
2011-05-19,29.78
2011-05-20,29.77
2011-05-21,29.75
2011-05-22,29.74
2011-05-23,29.72
2011-05-24,29.7
2011-05-25,29.68
2011-05-26,29.67
2011-05-27,29.65
2011-05-28,29.63
2011-05-29,29.61
2011-05-30,29.6
2011-05-31,29.6
2011-06-01,29.57
2011-06-02,29.55
2011-06-03,29.53
2011-06-04,29.5
2011-06-05,29.49
2011-06-06,29.47
2011-06-07,29.45
2011-06-08,29.45
2011-06-09,29.43
2011-06-10,29.41
2011-06-11,29.4
2011-06-12,29.38
2011-06-13,29.37
2011-06-14,29.36
2011-06-15,29.34
2011-06-16,29.33
2011-06-17,29.3
2011-06-18,29.31
2011-06-19,29.3
